t	XA	XB	YA	YB	XC	YC	x_bary	y_bary	ExcB	ExcC	rapport_axes
0.0	-0.009633477641267055	4.999999992191086	-5.183215031201448e-07	0.0002809925890884727	5.999999994221855	0.0002565099660152484	6.493074114702081e-19	0.0	0.00403640717028172	0.03639358845424317	1.2012239259992814
0.01	-0.009633334654587669	4.999920341467601	-5.2350212372065414e-05	0.028380099169030653	5.99994105724565	0.025907429364234496	-2.164358038234027e-19	-2.465035111382613e-16	0.004036372807674418	0.03639466707820068	1.2012264982776029
0.02	-0.009632911306187392	4.999684515327728	-0.00010418056203357458	0.05647831000421422	5.999766558788154	0.05155789290254752	-1.3280933794211637e-14	-3.8788749870220415e-12	0.004036291492702964	0.03639784053256013	1.2012339254101991
0.030000000000000002	-0.00963220760893206	4.9992925211918795	-0.00015600783701207057	0.0845747384019782	5.999476502472315	0.07720744836397066	-1.0566092932533167e-13	-1.538970870510278e-11	0.004036163654635298	0.03640310821732011	1.2012462042877008
0.04	-0.009631223584235819	4.998744371444401	-0.00020783050393163223	0.11266849773379649	5.999070894324963	0.10285564352095139	-3.558745704366299e-13	-3.453442711162435e-11	0.0040359900717103474	0.03641046912444132	1.201263329774433
0.05	-0.009629959262060213	4.998040083433262	-0.0002596470295656901	0.14075870146755742	5.9985497427758965	0.12850202613039063	-8.426938843654375e-13	-6.131581902926436e-11	0.004035771869892691	0.03641992183696221	1.2012852947145796
0.060000000000000005	-0.009628414680913081	4.997179679469551	-0.00031145588088671316	0.16884446319983126	5.9979130586566285	0.15414614392870596	-1.6447519465630312e-12	-9.573778247192234e-11	0.004035510520418084	0.03643146452775133	1.2013120899407697
0.07	-0.009626589887847077	4.996163186826844	-0.000363255525115882	0.19692489668811944	5.997160855198805	0.1797875446269504	-2.8406166853037367e-12	-1.378053229977787e-10	0.004035207836606993	0.03644509495800761	1.2013437042850916
0.08	-0.009624484938457814	4.9949906377404	-0.00041504442977275053	0.22499911588308308	5.996293148032252	0.2054257759059994	-4.508746079473537e-12	-1.875245514282641e-10	0.00403486597102767	0.03646081047538521	1.2013801245924607
0.09000000000000001	-0.009622099896881727	4.99366206940626	-0.000466821062724883	0.2530662349607441	5.99530995518267	0.23106038541181922	-6.727478418958903e-12	-2.449026834963513e-10	0.004034487410870239	0.036478608011856255	1.2014213357363224
0.1	-0.009619434835793628	4.992177523980159	-0.0005185838922374781	0.2811253683546581	5.994211297069019	0.256690920750831	-9.574970620442697e-12	-3.0994803461827795e-10	0.004034074973353788	0.036498484081369936	1.2014673206366666
0.11	-0.009616489836403857	4.990537048576316	-0.0005703313870229622	0.30917563078805194	5.992997196500569	0.28231692948538223	-1.312922982703154e-11	-3.826700198191465e-10	0.004033631800497853	0.03652043477716262	1.2015180602803202
0.12000000000000001	-0.009613264988455212	4.988740695266051	-0.0006220620162905605	0.3372161373059214	5.9916676786735845	0.30793795912933686	-1.7468020557295967e-11	-4.6307914707752344e-10	0.004033161352725879	0.03654445576898195	1.201573533743424
0.13	-0.009609760390219435	4.986788521076284	-0.0006737742497958326	0.3652460033070886	5.9902227711677245	0.3335535571438011	-2.2668938509879524e-11	-5.511870188945988e-10	0.004032667402996928	0.036570542300023316	1.2016337182160897
0.14	-0.009605976148493454	4.984680587987866	-0.0007254665578901845	0.39326434457621195	5.9886625039421055	0.35916327093298955	-2.880929303885731e-11	-6.470063216685409e-10	0.004032154029046438	0.03659868918380039	1.201698589029166
0.15	-0.009601912378595326	4.982416962933757	-0.0007771374115703331	0.4212702773157443	5.98698690933107	0.38476664784025316	-3.59661268493941e-11	-7.505508290221971e-10	0.0040316256058024955	0.036628890800841134	1.2017681196830268
0.16	-0.009597569204359696	4.97999771779709	-0.0008287852825277406	0.44926291817784003	5.985196022039629	0.41036323514427003	-4.42162512767804e-11	-8.618353904537405e-10	0.004031086797387908	0.036661141095370824	1.2018422818783387
0.17	-0.009592946758133153	4.977422929409001	-0.0008804086431980087	0.47724138429619933	5.983289879138653	0.43595258005541854	-5.3636071839174527e-11	-9.808759267915193e-10	0.004030542547814432	0.036695433571891506	1.2019210455487794
0.18000000000000002	-0.00958804518076912	4.974692679546424	-0.0009320059668102171	0.5052047933178542	5.981268520059722	0.46153422971233726	-6.430176008763088e-11	-1.107689430829836e-09	0.004029998072174077	0.03673176129178847	1.202004378895506
0.19	-0.009582864621622344	4.9718070549296165	-0.0009835757274362302	0.5331522634348861	5.979131986589756	0.4871077311786868	-7.628910123529401e-11	-1.2422939528548032e-09	0.004029458846194221	0.036770116870017536	1.202092248423455
0.2	-0.009577405238543361	4.968766147219604	-0.0010351164000399415	0.5610829134160809	5.976880322865329	0.5126726314401183	-8.967344589221443e-11	-1.3847086030657198e-09	0.004028930596333552	0.03681049247179223	1.2021846189792662
0.21000000000000002	-0.009571667197872297	4.965570053015462	-0.001086626460526473	0.5889958626384978	5.9745135753667435	0.5382284774014642	-1.0452983927752343e-10	-1.5349535339084974e-09	0.0040284192886572805	0.03685287980942206	1.2022814537908078
0.22	-0.009565650674432583	4.962218873851383	-0.0011381043857913104	0.6168902311189782	5.97203179291189	0.5637748158841557	-1.2093283270384798e-10	-1.6930499479485138e-09	0.00402793111763645	0.036897270139380926	1.2023827145082366
0.23	-0.009559355851524233	4.958712716193662	-0.0011895486537693925	0.6447651395455639	5.969435026649814	0.5893111936238716	-1.389565796748076e-10	-1.8590200743873273e-09	0.004027472494101897	0.03694365425946837	1.2024883612464172
